MEETPUNT_IDENTIFICATIE,soil_category,area
Lobith,Bebouwd gebied,0.04066254886402859
Lobith,Dikke eerdgronden,0.04066160351171805
Lobith,Kalkhoudende zandgronden,0.007709563871694543
Lobith,Kalkloze zandgronden,0.04355245010128484
Lobith,Oude rivierkleigronden,0.049128000339551496
Lobith,Podzolgronden,0.09818833708696822
Lobith,Rivierkleigronden,0.6351519718130394
Lobith,Water,0.08494552441171487
Maarssen,Bebouwd gebied,0.30552777529623326
Maarssen,Dikke eerdgronden,0.014387078505183917
Maarssen,Ingewikkelde samenstelling,0.018372580793820155
Maarssen,Kalkloze zandgronden,0.0016313493159167095
Maarssen,Moerige gronden,0.04386383047783438
Maarssen,Podzolgronden,0.04428631427157653
Maarssen,Rivierkleigronden,0.27972501669397604
Maarssen,Veengronden,0.21168528426113062
Maarssen,Water,0.08052077038432849
Ommen Hesselmulertbrug,Bebouwd gebied,0.020802788825142596
Ommen Hesselmulertbrug,Dikke eerdgronden,0.08711148283746081
Ommen Hesselmulertbrug,Ingewikkelde samenstelling,0.08822945840884966
Ommen Hesselmulertbrug,Kalkloze zandgronden,0.3120610704214152
Ommen Hesselmulertbrug,Moerige gronden,0.08144828302370717
Ommen Hesselmulertbrug,Podzolgronden,0.3991041311198879
Ommen Hesselmulertbrug,Rivierkleigronden,4.027389621053276e-05
Ommen Hesselmulertbrug,Veengronden,0.004394946725947084
Ommen Hesselmulertbrug,Water,0.006807564741378992
Weesp West,Bebouwd gebied,0.18296172014726975
Weesp West,Ingewikkelde samenstelling,0.03104045349971856
Weesp West,Kalkhoudende zandgronden,0.004534359837084137
Weesp West,Kalkloze zandgronden,0.0034320009726560904
Weesp West,Moerige gronden,0.029035736476014252
Weesp West,Podzolgronden,0.00866022202859242
Weesp West,Rivierkleigronden,0.058367982724456834
Weesp West,Veengronden,0.2942397227916202
Weesp West,Water,0.28776142243622743
Weesp West,Zeekleigronden,0.09996637908636019
